pid,file_size_bytes,file_exists
POST00003480,11246697,True
POST00000014,4312764,True
POST00001861,1877041,True
POST00003570,1968308,True
POST00000779,632004,True
POST00003722,13355700,True
POST00002934,12745931,True
POST00003007,2967628,True
POST00002743,24339420,True
POST00003072,5148813,True
POST00003211,3353238,True
POST00002289,4945584,True
POST00002896,2507262,True
POST00001204,3737695,True
POST00001007,7206554,True
POST00003737,10708442,True
POST00001899,19802445,True
POST00001712,5848017,True
POST00000838,3063058,True
POST00002972,7483214,True
POST00000777,11716974,True
POST00003577,14407904,True
POST00003094,4175109,True
POST00000280,39726202,True
POST00001726,2219093,True
POST00001126,1916761,True
POST00001882,1024094,True
POST00001184,3857140,True
POST00002324,3724095,True
POST00003049,4767598,True
POST00003389,17461246,True
POST00003071,1827089,True
POST00001690,1275270,True
POST00002479,9472020,True
POST00001630,912472,True
POST00003478,734152,True
POST00000467,1529882,True
POST00001657,11463855,True
POST00001468,22072136,True
POST00001785,12554736,True
POST00001376,413575,True
POST00002013,7768850,True
POST00001889,6793573,True
POST00001308,2229415,True
POST00003516,11212378,True
POST00003806,1083518,True
POST00003259,5543719,True
POST00003307,4280355,True
POST00003621,3745482,True
POST00001940,1104324,True
POST00001472,5113450,True
POST00003696,1647165,True
POST00003355,8820762,True
POST00003272,143130,True
POST00001421,487924,True
POST00001539,366609,True
POST00003326,1445498,True
POST00001255,583323,True
POST00002288,197642,True
POST00000986,184332,True
POST00002187,110764,True
POST00001245,142225,True
POST00002780,719431,True
POST00001476,1973925,True
POST00003622,337000,True
POST00001826,474019,True
POST00003897,344644,True
POST00002885,5107547,True
POST00003504,1892222,True
POST00003819,1898684,True
POST00003591,13303575,True
POST00002841,715456,True
POST00000841,1612625,True
POST00000536,4563815,True
POST00002413,1136014,True
POST00001959,1802922,True
POST00002935,6399805,True
POST00003454,1720171,True
POST00002447,1623930,True
POST00003799,1340923,True
POST00002550,1351294,True
POST00002070,4836643,True
POST00001503,1908528,True
POST00002777,996033,True
POST00003363,17686325,True
POST00000551,3467541,True
POST00003088,6152952,True
POST00003599,986700,True
POST00001935,42070712,True
POST00003366,280746,True
POST00002847,1533959,True
POST00003281,708244,True
POST00003339,2545262,True
POST00002347,1816368,True
POST00001230,801190,True
POST00001208,1893435,True
POST00001046,1714190,True
POST00001005,1705202,True
POST00002283,3130054,True
POST00003098,13616638,True
POST00002124,1764354,True
POST00001971,12124634,True
POST00002811,1918681,True
POST00001140,3989962,True
POST00000289,10402273,True
POST00002230,2284791,True
POST00000924,4115353,True
POST00001251,1561514,True
POST00001104,1869228,True
POST00000983,659057,True
POST00000895,1701490,True
POST00002082,5325616,True
POST00002590,3791456,True
POST00002295,2587571,True
POST00001355,1594262,True
POST00001261,2114572,True
POST00003652,3304960,True
POST00000707,2467760,True
POST00003227,7522200,True
POST00003015,15468433,True
POST00001917,11620778,True
POST00002710,23437364,True
POST00000024,18067505,True
POST00003760,9589784,True
POST00003850,3521511,True
POST00003975,2977626,True
POST00003287,3430041,True
POST00001398,2513544,True
POST00003921,7543285,True
POST00001625,25171537,True
POST00001163,8295352,True
POST00001190,4097228,True
POST00000249,11405922,True
POST00002408,412856,True
POST00001829,5521936,True
POST00002928,1530472,True
POST00001572,1126256,True
POST00001606,49555702,True
POST00000154,6322090,True
POST00001663,6247960,True
POST00000070,14475510,True
POST00002175,1784117,True
POST00000965,5012386,True
POST00001287,10240332,True
POST00001928,15906089,True
POST00001128,14724180,True
POST00001124,3175570,True
POST00001123,4617528,True
POST00001112,4795698,True
POST00001836,4696556,True
POST00002449,191248814,True
POST00001460,8562564,True
POST00000122,7993440,True
POST00003179,20844170,True
POST00003126,13567834,True
POST00003215,24327018,True
POST00003431,5397414,True
POST00002963,3235969,True
POST00000488,2024887,True
POST00002643,3371039,True
POST00000955,3174857,True
POST00002615,1109662,True
POST00000989,2315227,True
POST00001396,1400709,True
POST00000832,2521223,True
POST00003684,9160672,True
POST00003230,1416926,True
POST00003244,10480343,True
POST00002105,1234662,True
POST00002690,1958468,True
POST00003628,7977554,True
POST00001922,1033189,True
POST00002030,1938388,True
POST00000572,2232455,True
POST00003127,1309622,True
POST00001450,2601980,True
POST00001621,2357928,True
POST00001824,7247759,True
POST00000550,889479,True
POST00002756,1621250,True
POST00001817,9625178,True
POST00001535,788827,True
POST00003002,10662115,True
POST00002167,26764995,True
POST00003114,10139055,True
POST00002766,2153676,True
POST00001890,3858955,True
POST00003644,4061168,True
POST00000984,4266333,True
POST00000689,3106320,True
POST00000350,4659324,True
POST00001707,1188134,True
POST00002225,9620230,True
POST00000872,4797389,True
POST00000188,3894159,True
POST00002019,436587,True
POST00000914,2011818,True
POST00003814,6190621,True
POST00002262,2583130,True
POST00000759,1898201,True
POST00001326,1625989,True
POST00001949,7087451,True
POST00000530,8903995,True
POST00002376,114264,True
POST00003479,41491762,True
POST00003861,527596,True
POST00003868,2588023,True
POST00003781,3285902,True
POST00000975,7178881,True
POST00002090,3822488,True
POST00000096,5329935,True
POST00002897,3239411,True
POST00001937,5646113,True
POST00000682,3878476,True
POST00002923,9941224,True
POST00002022,3954587,True
POST00002334,3796931,True
POST00002432,6273321,True
POST00001722,9423268,True
POST00001661,1968758,True
POST00000953,3119804,True
POST00001534,3846259,True
POST00001301,1033648,True
POST00002457,5668241,True
POST00003444,534942,True
POST00001457,2280210,True
POST00002078,7421019,True
POST00002297,468614,True
POST00001424,15431400,True
POST00001904,15679485,True
POST00001604,1450062,True
POST00001619,4510181,True
POST00001601,3405855,True
POST00003124,5224028,True
POST00002201,2522180,True
POST00003673,1417131,True
POST00002900,4052356,True
POST00000544,634350,True
POST00002878,1188228,True
POST00002736,28548021,True
POST00002694,6434274,True
POST00002298,587143,True
POST00002560,1405492,True
POST00001361,6060113,True
POST00000966,12460949,True
POST00002382,2417466,True
POST00001040,915155,True
POST00000959,2979993,True
POST00001149,14150601,True
POST00001060,693977,True
POST00001055,2710327,True
POST00003284,5898305,True
POST00003903,2446059,True
POST00003634,4429653,True
POST00003328,1609595,True
POST00001144,1559402,True
POST00003875,4676895,True
POST00003441,1228578,True
POST00001688,1061304,True
POST00002072,3314954,True
POST00003782,4950651,True
POST00002631,392173,True
POST00002513,484442,True
POST00002073,1488060,True
POST00002153,1184511,True
POST00000103,4054924,True
POST00002463,706126,True
POST00002718,3292821,True
POST00001961,868507,True
POST00001239,5466935,True
POST00001240,4662038,True
POST00001222,15372618,True
POST00001215,7042755,True
POST00001129,7296593,True
POST00000823,4394102,True
POST00001101,7553522,True
POST00000681,14773816,True
POST00001260,8284004,True
POST00001224,1528578,True
POST00001120,4254539,True
POST00001237,4318538,True
POST00001089,14076775,True
POST00001181,3439699,True
POST00001238,1999425,True
POST00001070,2321809,True
POST00001242,19809283,True
POST00001054,6461743,True
POST00001063,7676624,True
POST00001061,4021887,True
POST00001077,10679482,True
POST00001069,2276571,True
POST00001068,17597724,True
POST00001050,2131208,True
POST00000092,11153130,True
POST00001523,5395699,True
POST00003113,126905,True
POST00001575,4955022,True
POST00002077,1724412,True
POST00002342,4354630,True
POST00001172,1970490,True
POST00001894,992527,True
POST00002813,17450821,True
POST00003279,196596,True
POST00001863,1908841,True
POST00003142,2575127,True
POST00002637,2134356,True
POST00001214,11409594,True
POST00002913,6314379,True
POST00003536,2876912,True
POST00000493,3357833,True
POST00002121,1555396,True
POST00003592,3139034,True
POST00000094,1845805,True
POST00002504,1168904,True
POST00002731,3081572,True
POST00000020,6007115,True
POST00002956,5426366,True
POST00000854,2638622,True
POST00000126,14925457,True
POST00001794,2338576,True
POST00002226,1932815,True
POST00003490,9431713,True
POST00003143,7852290,True
POST00000272,8545209,True
POST00002895,9786098,True
POST00000269,916223,True
POST00003008,3714098,True
POST00003180,22501415,True
POST00002915,2647256,True
POST00002969,21648723,True
POST00003776,20831396,True
POST00003297,16425612,True
POST00001256,8343727,True
POST00001710,3223103,True
POST00002792,1123140,True
POST00003586,11049292,True
POST00002125,7735786,True
POST00003736,8425827,True
POST00002684,12155627,True
POST00003700,1357293,True
POST00003465,1710529,True
POST00002340,1765624,True
POST00002652,4247287,True
POST00000005,2450069,True
POST00001381,2947540,True
POST00000523,36195975,True
POST00001228,10931192,True
POST00003563,4760283,True
POST00002992,6117124,True
POST00003140,3716539,True
POST00000916,2100085,True
POST00003001,7016735,True
POST00001042,18497993,True
POST00003173,9207838,True
POST00000007,16625148,True
POST00003605,12071475,True
POST00002899,5422810,True
POST00001557,6424234,True
POST00001543,7401081,True
POST00002758,7847724,True
POST00002275,7432142,True
POST00000587,48967131,True
POST00003965,10935310,True
POST00003243,14724588,True
POST00001047,6419849,True
POST00000990,5828514,True
POST00000571,23141877,True
POST00002492,3726452,True
POST00001110,13214036,True
POST00003213,23320215,True
POST00001082,12520498,True
POST00001160,895175,True
POST00002010,6347722,True
POST00003079,4629722,True
POST00002526,18026047,True
POST00002183,5140133,True
POST00002865,6671655,True
POST00002788,1824130,True
POST00002739,3149315,True
POST00003925,3191642,True
POST00000074,5925090,True
POST00002356,728846,True
POST00003074,7718230,True
POST00002481,31645095,True
POST00001994,5969315,True
POST00001702,1348541,True
POST00003566,4813397,True
POST00001706,2527366,True
POST00002470,31021025,True
POST00000576,2013016,True
POST00000339,536019,True
POST00000388,1214156,True
POST00001931,11964592,True
POST00003540,86557214,True
POST00002647,20188319,True
POST00003024,4491599,True
POST00003748,6545709,True
POST00002056,1626521,True
POST00000432,7724124,True
POST00000520,3416062,True
POST00003324,8257638,True
POST00002426,15815063,True
POST00002801,67362952,True
POST00002309,8003979,True
POST00002713,13310660,True
POST00000441,10382498,True
POST00000329,16390029,True
POST00000994,15428636,True
POST00002905,5578283,True
POST00001011,3978713,True
POST00001182,10464673,True
POST00002888,34134663,True
POST00001561,5798402,True
POST00001445,6868498,True
POST00000611,31498687,True
POST00001943,4597900,True
POST00002546,2394341,True
POST00003031,4724678,True
POST00003676,4404167,True
POST00001248,1697017,True
POST00002614,4848516,True
POST00002066,6239124,True
POST00002058,4790920,True
POST00003797,1575839,True
POST00002401,4001801,True
POST00003039,2357480,True
POST00002955,1744781,True
POST00002192,14121412,True
POST00002772,14728414,True
POST00002522,25792724,True
POST00001096,8979197,True
POST00001515,4816461,True
POST00001887,3012354,True
POST00002902,29354860,True
POST00003409,30871249,True
POST00000957,4273161,True
POST00000219,3585473,True
POST00002441,10072830,True
POST00002233,46961922,True
POST00001546,1934217,True
POST00001983,11360494,True
POST00001030,11976963,True
