pid,duration,fps,width,height,aspect_ratio,total_frames
POST00003480,63.3,30.0,576,1024,0.5625,1899
POST00000014,46.03333333333333,30.0,576,1080,0.5333333333333333,1381
POST00001861,7.5,30.0,576,1024,0.5625,225
POST00003570,18.533333333333335,30.0,576,1024,0.5625,556
POST00000779,7.1,30.0,576,1024,0.5625,213
POST00003722,101.33333333333334,29.960526315789473,576,1024,0.5625,3036
POST00002934,67.54980281120437,29.65219610778443,576,1238,0.46526655896607433,2003
POST00003007,53.88722055388722,29.691640866873065,576,1024,0.5625,1600
POST00002743,124.8,30.0,576,1024,0.5625,3744
POST00003072,35.8,30.0,576,1024,0.5625,1074
POST00003211,6.033333333333333,30.0,576,1024,0.5625,181
POST00002289,34.32599265932599,23.976,576,1024,0.5625,823
POST00002896,16.266666666666666,60.0,576,1024,0.5625,976
POST00001204,16.15,30.154798761609907,576,1024,0.5625,487
POST00001007,24.033333333333335,30.0,576,1024,0.5625,721
POST00003737,77.4,30.0,576,1024,0.5625,2322
POST00001899,193.33333333333334,30.0,576,1024,0.5625,5800
POST00001712,46.92192192192192,23.86944,576,1024,0.5625,1120
POST00000838,14.666666666666666,30.0,576,1024,0.5625,440
POST00002972,72.04166666666667,24.0,576,1024,0.5625,1729
POST00000777,57.0,30.0,576,1024,0.5625,1710
POST00003577,116.2,30.0,576,1024,0.5625,3486
POST00003094,39.7,30.0,576,1024,0.5625,1191
POST00000280,174.8,30.0,576,1024,0.5625,5244
POST00001726,14.133333333333333,30.0,576,1024,0.5625,424
POST00001126,9.133333333333333,30.0,576,1024,0.5625,274
POST00001882,8.2,30.0,576,1024,0.5625,246
POST00001184,20.966666666666665,30.0,576,1024,0.5625,629
POST00002324,17.866666666666667,30.0,576,1024,0.5625,536
POST00003049,24.2,30.0,576,1024,0.5625,726
POST00003389,90.7,30.0,576,1024,0.5625,2721
POST00003071,11.966666666666667,30.0,576,1024,0.5625,359
POST00001690,15.0,30.0,576,1024,0.5625,450
POST00002479,60.05,60.0,576,1024,0.5625,3603
POST00001630,6.466666666666667,30.0,576,1024,0.5625,194
POST00003478,5.1,30.0,576,1024,0.5625,153
POST00000467,5.533333333333333,30.0,576,1024,0.5625,166
POST00001657,59.6,29.83221476510067,576,1024,0.5625,1778
POST00001468,111.8,30.0,576,1134,0.5079365079365079,3354
POST00001785,83.3,30.0,576,1024,0.5625,2499
POST00001376,5.066666666666666,30.0,576,1024,0.5625,152
POST00002013,35.46666666666667,30.0,576,1024,0.5625,1064
