pid,pred_blend,popularity
POST00003512,8.137013990720503,10.14
POST00000548,0.0,9.7
POST00001619,0.0,1.75
POST00002366,0.0,7.96
POST00000002,0.0,4.2
POST00002335,0.0,8.62
POST00002187,0.0,5.64
POST00003212,9.860207518588277,12.44
POST00002167,0.0,9.72
POST00001092,0.0,7.2
POST00002274,0.0,8.15
POST00001464,0.0,6.85
POST00000666,0.0,9.38
POST00002430,0.0,2.31
POST00003345,8.636886143684059,11.43
POST00002261,0.0,7.07
POST00002000,0.0,5.54
POST00000415,0.0,10.84
POST00002314,0.0,8.2
POST00002979,4.729615011232756,4.09
POST00002879,10.56468124896816,11.35
POST00000520,0.0,5.51
POST00001888,0.0,9.59
POST00002298,0.0,11.64
POST00000600,0.0,12.02
POST00002754,0.0,9.32
POST00000122,0.0,7.45
POST00000043,0.0,5.64
POST00000577,0.0,10.73
POST00003724,10.768407618459637,7.05
POST00001859,0.0,5.76
POST00001325,0.0,7.78
POST00002291,0.0,12.28
POST00001222,0.0,9.03
POST00003361,7.560500928756162,4.17
POST00002803,10.206705765241923,8.23
POST00002452,0.0,8.32
POST00001830,0.0,6.56
POST00001952,0.0,3.79
POST00002727,0.0,8.69
POST00002190,0.0,4.99
POST00001915,0.0,7.68
POST00001664,0.0,8.14
POST00001990,0.0,11.61
POST00003244,6.697971050797806,7.93
POST00003378,8.388308862657444,5.48
POST00003460,9.745017407924388,8.28
POST00002051,0.0,7.52
POST00002469,0.0,13.35
POST00000076,0.0,12.54
POST00003524,7.296886431906751,7.37
POST00001789,0.0,9.46
POST00001184,0.0,3.93
POST00003906,3.1647905320809393,5.13
POST00003119,3.6437619877053216,3.69
POST00003801,9.605228327489955,10.6
POST00003302,3.10047889346117,3.19
POST00000196,0.0,8.59
POST00002444,0.0,4.02
POST00001021,0.0,8.1
POST00003334,7.810563297151878,12.19
POST00000113,0.0,5.87
POST00002174,0.0,9.73
POST00003916,8.96358804383223,7.56
POST00002621,0.0,8.66
POST00003757,10.099346883674361,12.13
POST00000629,0.0,5.4
POST00000703,0.0,12.55
POST00003745,10.751217075099746,10.33
POST00001651,0.0,5.58
POST00002767,7.337316457306069,5.73
POST00001998,0.0,10.31
POST00001732,0.0,7.61
POST00002290,0.0,11.35
POST00002253,0.0,9.02
POST00002202,0.0,12.79
POST00000351,0.0,10.74
POST00001787,0.0,7.45
POST00000070,0.0,9.21
POST00001908,0.0,12.74
POST00001494,0.0,6.91
POST00003188,8.030311738445615,4.04
POST00003541,10.535709420448288,8.91
POST00000801,0.0,11.6
POST00000892,0.0,7.93
POST00003582,7.952412162485632,6.96
POST00002962,5.355681920114613,6.93
POST00003009,9.273583430986465,8.2
POST00001941,0.0,11.77
POST00003170,6.113209309695,9.1
POST00002235,0.0,9.34
POST00000874,0.0,10.83
POST00001397,0.0,9.99
POST00002456,0.0,9.91
POST00001828,0.0,6.08
POST00000789,0.0,9.31
POST00003060,9.571959259406805,11.47
POST00002793,9.164072285706727,9.04
POST00003673,7.183786411673322,8.63
POST00003233,10.586496191340158,10.45
POST00000592,0.0,12.18
POST00002802,7.754311798725051,8.97
POST00003209,9.727647294467943,11.13
POST00003575,9.755702192412233,10.95
POST00000960,0.0,7.2
POST00002635,0.0,5.51
POST00002389,0.0,5.49
POST00001916,0.0,7.05
POST00003694,3.0455399136902486,5.35
POST00001473,0.0,3.62
POST00001749,0.0,3.6
POST00000752,0.0,8.58
POST00000134,0.0,6.64
POST00001912,0.0,8.3
POST00002861,6.6763551323808095,6.77
POST00000263,0.0,6.05
POST00003029,10.14826530595683,10.22
POST00000916,0.0,1.81
POST00000839,0.0,4.59
POST00002016,0.0,2.11
POST00000950,0.0,10.73
POST00001274,0.0,2.51
